,player_name,offense,defense,net
69,Ahmad Benali,0.00803164378899506,0.033367185964481086,-0.025335542175486024
70,Ahmed Hegazi,-0.001452969269614406,-0.041170817899889724,0.03971784863027532
71,Aihen Muñoz,0.058094679318792954,-0.01138078449090093,0.06947546380969388
72,Aimar Oroz,-0.045661625039306666,-0.016553608657192184,-0.029108016382114483
73,Aimen Moueffek,-0.05242041938986559,0.013071917112172409,-0.06549233650203799
74,Ainsley Maitland-Niles,0.07442654871135156,0.07447644445124074,-4.989573988918583e-05
75,Aitor Paredes,0.008846981727245469,-0.009110439677790886,0.017957421405036353
76,Aitor Ruibal,-0.04875926102691908,0.02714367363102069,-0.07590293465793978
77,Akim Zedadka,-0.02888740527040894,0.0672750148918145,-0.09616242016222344
78,Akor Adams,-0.044509195007385025,-0.01754391628265106,-0.026965278724733966
